,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,images,_runtime,_timestamp,_step
52,,,,,,,,,1.0,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",793,1637026867,0
53,,,,,,,,,,1.0,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",848,1637026898,0
54,,,,,,,,,,1.0,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",836,1637026960,0
55,,,,,,,,,,1.0,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",848,1637026926,0
56,,,,,,,,,,1.0,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",860,1637027016,0
57,,,,,,,,,,1.0,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",845,1637026893,0
58,,,,,,,,,,1.0,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",863,1637026938,0
59,,,,,,,,,,,1.0,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",865,1637027028,0
60,,,,,,,,,,,1.0,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",864,1637026988,0
61,,,,,,,,,,,1.0,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",864,1637026913,0
62,,,,,,,,,,,1.0,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",859,1637026925,0
63,,,,,,,,,,,1.0,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",869,1637026982,0
64,,,,,,,,,,,1.0,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",864,1637027025,0
65,,,,,,,,,,,,1.0,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",848,1637026896,0
66,,,,,,,,,,,,1.0,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",846,1637026931,0
67,,,,,,,,,,,,1.0,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",855,1637026973,0
68,,,,,,,,,,,,1.0,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",854,1637027018,0
69,,,,,,,,,,,,1.0,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",796,1637026844,0
70,,,,,,,,,,,,1.0,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",796,1637026861,0
71,,,,,,,,,,,,,1.0,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",868,1637026916,0
72,,,,,,,,,,,,,1.0,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",864,1637026949,0
73,,,,,,,,,,,,,1.0,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",860,1637026976,0
74,,,,,,,,,,,,,1.0,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",842,1637027006,0
75,,,,,,,,,,,,,1.0,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",826,1637026878,0
76,,,,,,,,,,,,,1.0,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",849,1637026921,0
77,,,,,,,,,,,,,,1.0,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",842,1637026954,0
78,,,,,,,,,,,,,,1.0,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",831,1637026880,0
79,,,,,,,,,,,,,,1.0,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",826,1637026898,0
80,,,,,,,,,,,,,,1.0,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",832,1637026949,0
81,,,,,,,,,,,,,,1.0,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",881,1637026930,0
82,,,,,,,,,,,,,,1.0,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",891,1637026956,0
83,0.75,0.25,,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",880,1637026996,0
84,0.5,0.5,,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",882,1637027075,0
