,Unnamed: 0,Unnamed: 0.1,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,loss,epoch,avg_ari_mask,corr_coef_disc,corr_coef_pos,corr_coef_size,corr_coef_material,corr_coef_shape,corr_coef_color,corr_coef,corr_rank_disc,corr_rank_pos,corr_rank_size,corr_rank_material,corr_rank_shape,corr_rank_color,corr_rank,avg_obj_greedy_loss_nodup,avg_attr_greedy_loss_nodup,avg_obj_pseudo_greedy_loss,avg_attr_pseudo_greedy_loss,avg_obj_greedy_loss_nodup_en,avg_attr_greedy_loss_nodup_en,avg_obj_pseudo_greedy_loss_en,avg_attr_pseudo_greedy_loss_en,avg_obj_greedy_loss_nodup_hn,avg_attr_greedy_loss_nodup_hn,avg_obj_pseudo_greedy_loss_hn,avg_attr_pseudo_greedy_loss_hn,std_obj_greedy_loss_nodup,std_attr_greedy_loss_nodup,std_obj_pseudo_greedy_loss,std_attr_pseudo_greedy_loss,avg_obj_greedy_cos_loss_nodup,avg_attr_greedy_cos_loss_nodup,avg_obj_pseudo_greedy_cos_loss,avg_attr_pseudo_greedy_cos_loss,avg_obj_greedy_cos_loss_nodup_en,avg_attr_greedy_cos_loss_nodup_en,avg_obj_pseudo_greedy_cos_loss_en,avg_attr_pseudo_greedy_cos_loss_en,avg_obj_greedy_cos_loss_nodup_hn,avg_attr_greedy_cos_loss_nodup_hn,avg_obj_pseudo_greedy_cos_loss_hn,avg_attr_pseudo_greedy_cos_loss_hn,std_obj_greedy_cos_loss_nodup,std_attr_greedy_cos_loss_nodup,std_obj_pseudo_greedy_cos_loss,std_attr_pseudo_greedy_cos_loss,_wandb
8,,,,1.0,,,,,,,,,,,,,7.0,0.007774905301630497,499.0,0.720557451248169,0.000929712550714612,0.4755657911300659,-0.14436572790145874,-0.11749774217605591,-0.09173703193664551,-0.0637814924120903,0.17488136887550354,-0.0012175142765045166,0.001415342092514038,0.004238486289978027,0.0067480504512786865,0.0002624690532684326,-0.008156180381774902,0.011891335248947144,0.21284480392932892,0.20403167605400085,0.09716140478849411,0.10857488214969635,0.149439737200737,0.07269272953271866,0.1805223822593689,0.05935550853610039,0.03831777349114418,0.014411953277885914,0.07039197534322739,0.03191980719566345,0.0004010870470665395,0.001233983552083373,0.00015317653014790267,0.0005166062619537115,0.1972707360982895,0.12404482811689377,0.17756745219230652,0.07542475312948227,0.0415724515914917,0.049409374594688416,0.06466252356767654,0.14584656059741974,0.010329793207347393,0.011994963511824608,0.04928211122751236,0.027300383895635605,0.0002372907765675336,0.0007232193020172417,0.00028557219775393605,0.0004465576494112611,{'runtime': 13572}
9,,,,1.0,,,,,,,,,,,,,11.0,0.006864675786346197,499.0,0.6645761728286743,0.08487044274806976,0.5480291843414307,-0.2111687958240509,-0.1556653380393982,-0.14008207619190216,-0.13967588543891907,0.2741495370864868,-0.0060201287269592285,0.000450819730758667,0.00015881657600402832,0.007514894008636475,-0.003538578748703003,0.005432814359664917,0.0030022263526916504,0.29756441712379456,0.2582884132862091,0.15079952776432037,0.18306393921375275,0.17008838057518005,0.08003581315279007,0.2309897243976593,0.08739153295755386,0.0360969677567482,0.012526317499577999,0.06816495209932327,0.015678646042943,0.0004126089042983949,0.0012708163121715188,0.00020837133342865855,0.0006874182145111263,0.25115129351615906,0.1553266942501068,0.19312968850135803,0.1031118631362915,0.05941080302000046,0.056291017681360245,0.08138693124055862,0.09213098883628845,0.013314174488186836,0.01030629500746727,0.03690722957253456,0.01566682755947113,0.0002700457989703864,0.0007885705563239753,0.00024050399952102453,0.0004769876832142472,{'runtime': 13625}
10,,,,1.0,,,,,,,,,,,,,13.0,0.006525956094264984,499.0,0.809077262878418,0.020889045670628548,0.5055881142616272,-0.1699647605419159,-0.12418210506439209,-0.10642051696777344,-0.08808532357215881,0.20320211350917816,0.009994059801101685,-0.009615778923034668,0.006402701139450073,0.006824851036071777,0.00032511353492736816,0.008111000061035156,0.0034947991371154785,0.1699894815683365,0.13102179765701294,0.08276404440402985,0.08537058532238007,0.159025177359581,0.07470718771219254,0.162454292178154,0.05756889656186104,0.041456107050180435,0.020789843052625656,0.06056959927082062,0.030507924035191536,0.00036046389141120017,0.0008868200238794088,0.00014463800471276045,0.000550916651263833,0.17854440212249756,0.08081706613302231,0.15638792514801025,0.06290919333696365,0.04063655063509941,0.05012357980012894,0.06532012671232224,0.10745713114738464,0.006564521696418524,0.017315227538347244,0.03841093182563782,0.02426588349044323,0.0002233845880255103,0.0005344499950297177,0.00027092720847576857,0.0005092895007692277,{'runtime': 14529}
11,,,,,1.0,,,,,,,,,,,,0.0,0.0072151366621255875,499.0,0.7780824899673462,-0.007763552013784647,0.5086087584495544,-0.179647296667099,-0.13318143784999847,-0.1044640839099884,-0.08387773483991623,0.1795385628938675,0.012726843357086182,0.0029351413249969482,-0.01584714651107788,-0.018531858921051025,0.007746636867523193,0.0068489909172058105,0.0007679760456085205,0.19481341540813446,0.157828226685524,0.09831423312425613,0.11804699152708054,0.15300153195858002,0.07350549101829529,0.18670421838760376,0.06776493042707443,0.03536030277609825,0.014949276112020016,0.0698218122124672,0.03714786842465401,0.0003740953397937119,0.0010130321606993675,0.00016297884576488286,0.0006828478071838617,0.1906248778104782,0.09596562385559082,0.18413938581943512,0.08427267521619797,0.0430915504693985,0.04904396831989288,0.07254967838525772,0.1452384740114212,0.007234352175146341,0.012805459089577198,0.048097290098667145,0.03214046731591225,0.00022550100402440876,0.0005858084186911583,0.00031088353716768324,0.0005829354049637914,{'runtime': 20608}
12,,,,,1.0,,,,,,,,,,,,5.0,0.006999034434556961,499.0,0.6810835599899292,0.061457559466362,0.4982985258102417,-0.1714990735054016,-0.1335303783416748,-0.11881312727928162,-0.11811301112174988,0.23569710552692413,0.008512556552886963,-0.002180159091949463,-0.006566643714904785,-0.00541841983795166,0.002934783697128296,-0.0063773393630981445,0.003605574369430542,0.24926653504371643,0.2107686549425125,0.13303296267986298,0.14881086349487305,0.16105474531650543,0.07793574780225754,0.20507945120334625,0.07586228847503662,0.0353429839015007,0.009181734174489975,0.056828573346138,0.016551336273550987,0.0003697729844134301,0.001000163028948009,0.00019050978880841285,0.0004675920936278999,0.2176574170589447,0.12199289351701736,0.1699591428041458,0.07772176712751389,0.054067861288785934,0.05854453518986702,0.08108551800251007,0.09692569077014923,0.009674105793237686,0.007482227869331837,0.03617946431040764,0.015257038176059723,0.00024192010459955782,0.0006382408901117742,0.00024252344155684114,0.000307958252960816,{'runtime': 41276}
13,,,,,1.0,,,,,,,,,,,,6.0,0.007172917947173119,499.0,0.6803228259086609,0.09411682188510895,0.48656243085861206,-0.18048715591430664,-0.13377316296100616,-0.12725290656089783,-0.13196705281734467,0.2596648335456848,-0.014542102813720703,0.00591045618057251,0.011584430932998657,0.012524843215942383,-0.008755266666412354,-0.0035538673400878906,0.00731205940246582,0.2583068013191223,0.2069282978773117,0.1326863169670105,0.12760093808174133,0.15609964728355408,0.08002520352602005,0.15963667631149292,0.07054226845502853,0.03483954071998596,0.009400203824043274,0.04696596413850784,0.015950974076986313,0.0003759498940780759,0.0010093854507431388,0.00018603848002385348,0.0004305010661482811,0.21696314215660095,0.1115947812795639,0.14650189876556396,0.06370851397514343,0.05106864497065544,0.05891541391611099,0.06336656212806702,0.08887167274951935,0.008011607453227043,0.008694488555192947,0.030037594959139824,0.013414597138762474,0.00024660618510097265,0.0006447167252190411,0.00021427145111374557,0.00027576833963394165,{'runtime': 15290}
14,,,,,1.0,,,,,,,,,,,,7.0,0.006188754457980394,499.0,0.7923891544342041,0.023886337876319885,0.49213317036628723,-0.1866167038679123,-0.13781453669071198,-0.11347455531358719,-0.09587763249874115,0.20082272589206696,0.0045659542083740234,-0.007100701332092285,-0.009118735790252686,-0.00778883695602417,0.0010934174060821533,-0.009330570697784424,-0.00039011240005493164,0.19530527293682098,0.1600838601589203,0.10546106845140457,0.09952095150947571,0.15376077592372894,0.06950835138559341,0.16555534303188324,0.05749416723847389,0.037700287997722626,0.015165437012910843,0.061150457710027695,0.03159688040614128,0.0003739463281817734,0.0010164622217416763,0.00015797899686731398,0.0005484101129695773,0.18779973685741425,0.09815051406621933,0.17195561528205872,0.0700589120388031,0.04223080351948738,0.04835672676563263,0.06702571362257004,0.11715848743915558,0.007321074604988098,0.014619100838899612,0.04059279337525368,0.031449638307094574,0.00023583034635521472,0.0006183043005876243,0.0002823214163072407,0.0004741926968563348,{'runtime': 14554}
15,,,,,1.0,,,,,,,,,,,,11.0,0.00610260758548975,499.0,0.8023663759231567,-0.00437034061178565,0.49178075790405273,-0.15638603270053864,-0.11790881305932999,-0.09297971427440643,-0.06847607344388962,0.1762077808380127,0.007822632789611816,0.001434028148651123,0.0036449432373046875,0.0023855268955230713,0.0012021660804748535,-0.011370420455932617,0.0072394609451293945,0.18638694286346436,0.15637880563735962,0.09067763388156891,0.09715880453586578,0.15346212685108185,0.07502101361751556,0.17709234356880188,0.060477662831544876,0.03900618851184845,0.014174834825098515,0.06706542521715164,0.03378942236304283,0.00037087357486598194,0.0010731715010479093,0.00015562470071017742,0.0005911321495659649,0.18509437143802643,0.09486540406942368,0.17136234045028687,0.0714709684252739,0.04191835969686508,0.0505891814827919,0.06894710659980774,0.13001781702041626,0.008610296063125134,0.011621995829045773,0.04359373450279236,0.028475672006607056,0.00022779933351557702,0.0006261613452807069,0.00029024542891420424,0.0005488806637004018,{'runtime': 15292}
16,,,,,1.0,,,,,,,,,,,,13.0,0.0067484499886631966,499.0,0.7978256940841675,0.00852260086685419,0.4823225736618042,-0.16105635464191437,-0.12138229608535767,-0.0981529951095581,-0.07833817601203918,0.18392905592918396,-0.0078105628490448,0.002507835626602173,0.0008673667907714844,-0.0007990002632141113,-0.0029910504817962646,0.0002900362014770508,0.0023773014545440674,0.20231042802333832,0.17727945744991302,0.10299784690141678,0.11333900690078735,0.15235403180122375,0.07190050184726715,0.17745788395404816,0.06491079926490784,0.037310414016246796,0.016003098338842392,0.062409352511167526,0.03254422917962074,0.0003725324058905244,0.0010506997350603342,0.00015970069216564298,0.0006341258995234966,0.19220218062400818,0.10499127209186554,0.17353683710098267,0.07755018025636673,0.0428893007338047,0.05103765055537224,0.07048912346363068,0.12505722045898438,0.007205215748399496,0.013530941680073738,0.04165926203131676,0.027459269389510155,0.00022667903976980597,0.0006334692589007318,0.0002820886729750782,0.0005298176547512412,{'runtime': 16171}
17,,,,,,1.0,,,,,,,,,,,0.0,0.006427111569792032,499.0,0.7888606786727905,0.011893710121512413,0.4865341782569885,-0.17499464750289917,-0.1330195963382721,-0.10387289524078369,-0.08593819290399551,0.18844148516654968,-0.006239593029022217,-0.009832262992858887,-0.0018242895603179932,-0.0015061795711517334,0.0013636350631713867,0.00846436619758606,0.012304097414016724,0.18135757744312286,0.140333354473114,0.09455618262290955,0.0904017835855484,0.15286889672279358,0.07338866591453552,0.16478681564331055,0.059715092182159424,0.037347596138715744,0.016771843656897545,0.06269333511590958,0.0291171632707119,0.0003692855825647712,0.0009570745751261711,0.00015056162374094129,0.0005200148443691432,0.1789543181657791,0.08616301417350769,0.16581052541732788,0.06578269600868225,0.04190000519156456,0.04856189340353012,0.06546925753355026,0.12203553318977356,0.007491299882531166,0.014558413997292519,0.04073397442698479,0.025948479771614075,0.00022929931583348662,0.0005730187403969467,0.00028743487200699747,0.00049054209375754,{'runtime': 18347}
