,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,images,_runtime,_timestamp,_step,lr-Adam,loss,epoch,avg_ari_mask,corr_coef_disc,corr_coef_pos,corr_coef_size,corr_coef_material,corr_coef_shape,corr_coef_color,corr_coef,corr_rank_disc,corr_rank_pos,corr_rank_size,corr_rank_material,corr_rank_shape,corr_rank_color,corr_rank,avg_obj_greedy_loss_nodup,avg_attr_greedy_loss_nodup,avg_obj_pseudo_greedy_loss,avg_attr_pseudo_greedy_loss,avg_obj_greedy_loss_nodup_en,avg_attr_greedy_loss_nodup_en,avg_obj_pseudo_greedy_loss_en,avg_attr_pseudo_greedy_loss_en,avg_obj_greedy_loss_nodup_hn,avg_attr_greedy_loss_nodup_hn,avg_obj_pseudo_greedy_loss_hn,avg_attr_pseudo_greedy_loss_hn,std_obj_greedy_loss_nodup,std_attr_greedy_loss_nodup,std_obj_pseudo_greedy_loss,std_attr_pseudo_greedy_loss,avg_obj_greedy_cos_loss_nodup,avg_attr_greedy_cos_loss_nodup,avg_obj_pseudo_greedy_cos_loss,avg_attr_pseudo_greedy_cos_loss,avg_obj_greedy_cos_loss_nodup_en,avg_attr_greedy_cos_loss_nodup_en,avg_obj_pseudo_greedy_cos_loss_en,avg_attr_pseudo_greedy_cos_loss_en,avg_obj_greedy_cos_loss_nodup_hn,avg_attr_greedy_cos_loss_nodup_hn,avg_obj_pseudo_greedy_cos_loss_hn,avg_attr_pseudo_greedy_cos_loss_hn,std_obj_greedy_cos_loss_nodup,std_attr_greedy_cos_loss_nodup,std_obj_pseudo_greedy_cos_loss,std_attr_pseudo_greedy_cos_loss,_wandb
125,0.75,,,0.25,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",5415,1636723168,7999,0.00015133347908317168,0.007623868063092232,499,0.18281129002571106,0.11621250212192535,0.48336225748062134,-0.2119373083114624,-0.15592937171459198,-0.14577697217464447,-0.16537684202194214,0.27759623527526855,0.008046984672546387,0.0027960240840911865,0.0031944215297698975,0.0022686421871185303,-0.0031947195529937744,-0.0021349191665649414,0.013682365417480469,0.26048043370246887,0.19910643994808197,0.16414041817188263,0.1976696252822876,0.16569800674915314,0.07428806275129318,0.2679899036884308,0.10819267481565475,0.03060303069651127,0.00994827039539814,0.073157399892807,0.017482206225395203,0.0004271996149327606,0.0011373341549187899,0.00025528762489557266,0.0008157656993716955,0.2269621044397354,0.11845681816339493,0.1986410915851593,0.11002778261899948,0.057586971670389175,0.052385348826646805,0.0935940369963646,0.0810161605477333,0.008901998400688171,0.009676333516836166,0.03897634148597717,0.01567493937909603,0.0002749038685578853,0.0006986045627854764,0.00022083365183789283,0.000495386659167707,{'runtime': 5415}
126,0.5,,,0.5,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",15564,1636720471,7999,0.00015135135140715002,0.006855915300548077,499,0.740361213684082,0.015404313802719116,0.517432689666748,-0.18195417523384094,-0.1406897008419037,-0.11649645864963531,-0.10106533765792847,0.20278286933898926,-0.007326185703277588,-0.00306016206741333,0.008139461278915405,0.007853835821151733,0.002475440502166748,-0.005317777395248413,0.003974199295043945,0.22110050916671753,0.1985848844051361,0.10820949077606201,0.10793434083461761,0.15989114344120026,0.07855556905269623,0.15204478800296783,0.05272369459271431,0.03970003500580788,0.016130154952406883,0.05621007829904556,0.0294969379901886,0.00038714916445314884,0.0011566032189875841,0.0001559429510962218,0.0005500767147168517,0.20643648505210876,0.1202893778681755,0.1654687523841858,0.07284068316221237,0.04507514089345932,0.05211489647626877,0.0628976821899414,0.10521223396062851,0.007971221581101418,0.014657357707619667,0.03594529256224632,0.02509400248527527,0.0002448475861456245,0.0007193335331976414,0.00025901757180690765,0.00047115233610384166,{'runtime': 15564}
127,0.25,,,0.75,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",18495,1636723105,7999,0.00015135135140715002,0.006806712597608566,499,0.7224661111831665,0.024238096550107002,0.5224721431732178,-0.1815834790468216,-0.1471741497516632,-0.12214852124452591,-0.10662217438220978,0.21227258443832397,-0.0013733208179473877,0.002106696367263794,-0.001158207654953003,-0.001883387565612793,-0.004306197166442871,0.002615302801132202,-0.009095907211303711,0.2612195312976837,0.2257295399904251,0.11921750754117966,0.1171366348862648,0.15351124107837677,0.0764060765504837,0.14564354717731476,0.05332645773887634,0.03499159589409828,0.009760688990354538,0.05016321316361427,0.022221103310585022,0.00039022177224978805,0.001213503535836935,0.0001576428476255387,0.0004956724005751312,0.22798050940036774,0.13241301476955414,0.1624910533428192,0.07080379128456116,0.045659229159355164,0.053736861795186996,0.061259105801582336,0.09793803840875626,0.007825355976819992,0.008586591109633446,0.03348269313573837,0.0181785449385643,0.0002483814023435116,0.0007225674926303327,0.00024090947408694774,0.0003767487942241132,{'runtime': 18495}
128,0.75,,,0.25,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",18382,1636722830,7999,0.00015135135140715002,0.006529701873660088,499,0.8174813985824585,-0.013799602165818214,0.4900042712688446,-0.13846811652183533,-0.11533006280660629,-0.08167283236980438,-0.046979933977127075,0.1674199402332306,0.01153552532196045,0.005677551031112671,0.0029192864894866943,0.0028537511825561523,-0.006247878074645996,0.0017913579940795898,-0.014258384704589844,0.17750589549541473,0.1499113142490387,0.08965811133384705,0.11070920526981354,0.16085636615753174,0.08236106485128403,0.21563170850276947,0.07423372566699982,0.040751293301582336,0.015860887244343758,0.0820542573928833,0.043154358863830566,0.0003668678109534085,0.001069008489139378,0.00016278929251711816,0.000691443623509258,0.1820947229862213,0.0921001210808754,0.19291076064109802,0.08265163749456406,0.04370814934372902,0.05196207016706467,0.07958029210567474,0.173529252409935,0.010799020528793335,0.013564794324338436,0.05750786140561104,0.034054290503263474,0.00022481658379547298,0.0006258694338612258,0.00032661407021805644,0.0005941642448306084,{'runtime': 18382}
129,0.5,,,0.5,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",14757,1636719706,7999,0.00015135135140715002,0.006802140735089779,499,0.5178410410881042,0.08809758722782135,0.5754042267799377,-0.22806352376937866,-0.1640741229057312,-0.15166617929935455,-0.15079373121261597,0.287002295255661,0.003246217966079712,-0.005406856536865234,0.008787393569946289,0.005697369575500488,-0.0006523430347442627,0.0028155148029327393,-0.0073205530643463135,0.27267012000083923,0.22407843172550201,0.15237359702587128,0.18579086661338806,0.18580573797225952,0.0900304764509201,0.25758883357048035,0.08465664088726044,0.039280667901039124,0.012528346851468086,0.07645735144615173,0.014211874455213547,0.00045254570432007313,0.0014585168100893497,0.0002465034194756299,0.000732116517610848,0.2438049167394638,0.1349499672651291,0.20465581119060516,0.10381989181041718,0.06486152112483978,0.06445254385471344,0.09272073954343796,0.08758355677127838,0.01331641897559166,0.012410907074809074,0.04255243390798569,0.013654082082211971,0.00029736425494775176,0.0008835241314955056,0.00023951604089234024,0.00046371915959753096,{'runtime': 14756}
130,0.25,,,0.75,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",15586,1636721011,7999,0.00015135135140715002,0.007032391149550676,499,0.7241564393043518,0.08430934697389603,0.5700046420097351,-0.20495197176933289,-0.15777969360351562,-0.14006471633911133,-0.13361580669879913,0.2816585302352905,0.008673220872879028,-0.000996708869934082,-0.016311049461364746,-0.01398378610610962,0.010171383619308472,0.008915603160858154,-0.0065877437591552734,0.27905797958374023,0.2426651418209076,0.13772526383399963,0.17083123326301575,0.17572776973247528,0.08042167872190475,0.2179645597934723,0.07640425860881805,0.037576425820589066,0.00938908476382494,0.063756562769413,0.01622244343161583,0.00040520570473745465,0.0012175419833511114,0.0002022821136051789,0.0006218758644536138,0.24476343393325806,0.14770933985710144,0.18059776723384857,0.0925406888127327,0.05970560014247894,0.055850960314273834,0.0814029797911644,0.09180770069360733,0.013610453344881535,0.007923643104732037,0.03817597031593323,0.014046196825802326,0.00026952842017635703,0.0007417509332299232,0.00023036829952616245,0.00040769827319309115,{'runtime': 15586}
131,0.75,,,0.25,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13193,1636721739,7999,0.00015133347908317168,0.0070724086835980415,499,0.5977011919021606,0.07340288162231445,0.5586064457893372,-0.21249516308307648,-0.149497851729393,-0.13358664512634277,-0.13016627728939056,0.26808038353919983,0.004386544227600098,0.002512514591217041,0.0015729069709777832,0.0017976462841033936,0.00668373703956604,0.0030823349952697754,0.0025301873683929443,0.2640625834465027,0.20304222404956818,0.14750936627388,0.17914123833179474,0.17947229743003845,0.08393465727567673,0.26016148924827576,0.08478902280330658,0.03670328110456467,0.012316788546741009,0.07794792950153351,0.015157660469412804,0.0004404921201057732,0.0013339404249563813,0.0002369710709899664,0.0007156538194976747,0.23760072886943817,0.12223006784915924,0.20419660210609436,0.10405725240707397,0.06075789034366608,0.0590452179312706,0.09173797816038132,0.08831877261400223,0.011448200792074203,0.011036021634936333,0.041924022138118744,0.014823990873992443,0.0002869626914616674,0.0007945644902065396,0.0002332905714865774,0.00046768944594077766,{'runtime': 13190}
132,0.5,,,0.5,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",12610,1636722824,7999,0.00015133347908317168,0.00623747706413269,499,0.7943073511123657,0.008768552914261818,0.48793065547943115,-0.17330464720726013,-0.13151511549949646,-0.1046438217163086,-0.08903913199901581,0.18617752194404602,0.007014751434326172,-0.005092978477478027,3.591179847717285e-05,0.0010454654693603516,0.002426713705062866,0.014184564352035522,-0.003714531660079956,0.17967882752418518,0.14523927867412567,0.09559252858161926,0.10787557810544968,0.16265103220939636,0.08251021057367325,0.1879865974187851,0.0743507668375969,0.04132360592484474,0.02060234732925892,0.06762348115444183,0.041114334017038345,0.00036820367677137256,0.0009689599392004311,0.00016075851453933865,0.0006736279465258121,0.18188773095607758,0.09124237298965454,0.176993727684021,0.08174128830432892,0.04536854848265648,0.05223517492413521,0.0741930678486824,0.12550745904445648,0.009715051390230656,0.01621653325855732,0.04545384645462036,0.036802105605602264,0.0002305220696143806,0.0005960783455520868,0.0003002842713613063,0.0006278575165197253,{'runtime': 12609}
133,0.25,,,0.75,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13873,1636722872,7999,0.00015133347908317168,0.006882322020828724,499,0.7988811731338501,0.013580110855400562,0.49805748462677,-0.1790461540222168,-0.14105689525604248,-0.111369289457798,-0.09059248864650726,0.19412876665592194,0.0005679130554199219,-0.005616903305053711,0.009386450052261353,0.011537015438079834,-0.007968246936798096,-0.01075136661529541,-0.005900293588638306,0.1774532049894333,0.13933734595775604,0.08947445452213287,0.09633035212755203,0.14701548218727112,0.07533490657806396,0.17947347462177277,0.06751351058483124,0.03675204887986183,0.020856471732258797,0.06862084567546844,0.03861600533127785,0.0003655583132058382,0.0009877228876575828,0.00014761289639864117,0.000551088189240545,0.17464479804039001,0.08658114075660706,0.16813874244689941,0.07470415532588959,0.04045642167329788,0.04855994135141373,0.06794226169586182,0.132176473736763,0.00886260624974966,0.016695206984877586,0.04646459221839905,0.030342794954776764,0.00022135743347462267,0.0005707182572223246,0.00028346909675747156,0.0005300053162500262,{'runtime': 13874}
134,0.75,,,0.25,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13850,1636724086,7999,0.00015133347908317168,0.006202975288033485,499,0.818336009979248,0.008874576538801193,0.5027691721916199,-0.1761130690574646,-0.12729522585868835,-0.10185155272483826,-0.0750012993812561,0.19177445769309998,0.007410645484924316,0.004611372947692871,-0.004237115383148193,-0.0036928951740264893,-0.00805613398551941,0.0019258856773376465,0.004319101572036743,0.19388708472251892,0.15140976011753082,0.0921647697687149,0.10654988139867783,0.15671341121196747,0.08204029500484467,0.19281421601772308,0.06938736885786057,0.03955774009227753,0.022211527451872826,0.07407234609127045,0.04380980506539345,0.00038001418579369783,0.0010387316578999162,0.00015913730021566153,0.0006153678987175226,0.189979687333107,0.09668754041194916,0.18100924789905548,0.08182259649038315,0.04379194229841232,0.04973999783396721,0.07415695488452911,0.14490239322185516,0.010121474042534828,0.017860209569334984,0.051820531487464905,0.03253953158855438,0.0002299871266586706,0.000605726323556155,0.00030102470191195607,0.0005652704276144505,{'runtime': 13851}
143,0.75,,,,0.25,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13517,1636723759,7999,0.00015133347908317168,0.007128104567527771,499,0.35326915979385376,0.1224994957447052,0.5022025108337402,-0.2066994309425354,-0.15298357605934143,-0.14832276105880737,-0.15833476185798645,0.28996551036834717,0.004808008670806885,0.007409483194351196,1.576542854309082e-05,-0.0023142993450164795,-0.0039546191692352295,-0.006481170654296875,-0.0024484097957611084,0.23011904954910278,0.1569335162639618,0.15276728570461273,0.169806569814682,0.17338398098945618,0.07511883229017258,0.2925818860530853,0.08603965491056442,0.03753866255283356,0.011562405154109001,0.09323208779096603,0.013938779942691326,0.0004321147862356156,0.0010663982247933745,0.00026374190929345787,0.0007194441859610379,0.21203365921974182,0.09140119701623917,0.23031097650527954,0.09933144599199295,0.05730109289288521,0.05207014083862305,0.09382776916027069,0.07395058125257492,0.010063310153782368,0.008031893521547318,0.050442226231098175,0.009247717447578907,0.000263494614046067,0.000638787925709039,0.0002452580083627254,0.0004590857424773276,{'runtime': 13518}
144,0.5,,,,0.5,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",16047,1636726240,7999,0.00015133347908317168,0.007977675646543503,499,0.7392709851264954,-0.0050818901509046555,0.4755523204803467,-0.14980071783065796,-0.12535467743873596,-0.09109430015087128,-0.06624408811330795,0.16975191235542297,0.0037787258625030518,-0.011842787265777588,0.0025669336318969727,0.0035838782787323,-0.004816174507141113,0.005026131868362427,-0.00513845682144165,0.2193908542394638,0.2062763273715973,0.10285390168428421,0.12625619769096375,0.15933184325695038,0.07754577696323395,0.18823689222335815,0.0629645437002182,0.03938383609056473,0.011015969328582287,0.07004597783088684,0.03724227845668793,0.00038837880128994584,0.001178425271064043,0.00016397115541622043,0.0006176964961923659,0.20672722160816193,0.12520566582679749,0.187436044216156,0.08779925107955933,0.04614860191941261,0.050731267780065536,0.07113905996084213,0.14013290405273438,0.010055383667349815,0.010200520046055317,0.04794200882315636,0.030581491068005562,0.0002424561243969947,0.0007070202264003456,0.00029893132159486413,0.0005358780035749078,{'runtime': 16048}
