,Unnamed: 0,iid,intr_corr_0,pos_corr_0.5,pos_corr_1.5,seed,epoch,avg_ari_mask,corr_coef_disc,corr_coef_pos,corr_coef_size,corr_coef_material,corr_coef_shape,corr_coef_color,corr_coef,corr_rank_disc,corr_rank_pos,corr_rank_size,corr_rank_material,corr_rank_shape,corr_rank_color,corr_rank,avg_obj_greedy_loss_nodup,avg_attr_greedy_loss_nodup,avg_obj_pseudo_greedy_loss,avg_attr_pseudo_greedy_loss,avg_obj_greedy_loss_nodup_en,avg_attr_greedy_loss_nodup_en,avg_obj_pseudo_greedy_loss_en,avg_attr_pseudo_greedy_loss_en,avg_obj_greedy_loss_nodup_hn,avg_attr_greedy_loss_nodup_hn,avg_obj_pseudo_greedy_loss_hn,avg_attr_pseudo_greedy_loss_hn,std_obj_greedy_loss_nodup,std_attr_greedy_loss_nodup,std_obj_pseudo_greedy_loss,std_attr_pseudo_greedy_loss,avg_obj_greedy_cos_loss_nodup,avg_attr_greedy_cos_loss_nodup,avg_obj_pseudo_greedy_cos_loss,avg_attr_pseudo_greedy_cos_loss,avg_obj_greedy_cos_loss_nodup_en,avg_attr_greedy_cos_loss_nodup_en,avg_obj_pseudo_greedy_cos_loss_en,avg_attr_pseudo_greedy_cos_loss_en,avg_obj_greedy_cos_loss_nodup_hn,avg_attr_greedy_cos_loss_nodup_hn,avg_obj_pseudo_greedy_cos_loss_hn,avg_attr_pseudo_greedy_cos_loss_hn,std_obj_greedy_cos_loss_nodup,std_attr_greedy_cos_loss_nodup,std_obj_pseudo_greedy_cos_loss,std_attr_pseudo_greedy_cos_loss
65,,0.25,,,0.75,5.0,0.0,0.0405,0.2809,0.6819,-0.362,-0.3578,-0.2901,-0.3173,0.4843,0.0135,0.0051,0.0189,0.0171,0.0327,0.0409,0.0451,0.3516,0.1861,0.2095,0.1976,0.1723,0.0832,0.1536,0.1716,0.0184,0.0095,0.0138,0.0097,0.0003,0.0011,0.0002,0.0007,0.31,0.1196,0.2204,0.1186,0.0302,0.0517,0.0198,0.1048,0.0016,0.0122,0.0065,0.0192,0.0002,0.0007,0.0001,0.0005
66,,0.75,,,0.25,6.0,0.0,0.9474,-0.0014,0.5503,-0.2677,-0.2783,-0.1977,-0.1369,0.2003,0.0359,0.0433,-0.064,-0.1076,0.0708,-0.0471,0.0372,0.2363,0.1852,0.0492,0.0782,0.1754,0.0919,0.0618,0.0526,0.0244,0.012,0.0053,0.0276,0.0004,0.0014,8.2065e-05,0.0005,0.2385,0.1145,0.0905,0.0578,0.0216,0.0511,0.0061,0.0928,0.0023,0.0138,0.0075,0.019,0.0002,0.0008,8.0592e-05,0.0004
67,,0.5,,,0.5,6.0,0.0,0.9399,0.0057,0.3736,-0.1441,-0.1381,-0.1348,-0.0468,0.1458,-0.1188,0.0651,0.0265,0.0398,-0.0062,0.0639,-0.0947,0.2332,0.2428,0.0789,0.0963,0.173,0.0991,0.0895,0.0829,0.0197,0.0109,0.0049,0.034,0.0004,0.0017,0.0001,0.0006,0.2348,0.1518,0.1213,0.0715,0.0251,0.0549,0.0106,0.1243,0.0023,0.0135,0.0116,0.0223,0.0002,0.001,0.0001,0.0004
68,,0.25,,,0.75,6.0,0.0,0.8568,0.0539,0.2982,-0.1385,-0.1211,-0.0295,-0.065,0.1612,-0.0283,-0.0588,-0.0055,-0.0491,-0.0575,-0.0249,-0.0128,0.2242,0.1996,0.0536,0.083,0.1657,0.0899,0.0576,0.0452,0.0204,0.0129,0.0049,0.023,0.0004,0.0017,8.9475e-05,0.0005,0.2291,0.1252,0.0984,0.0584,0.022,0.0459,0.0049,0.1021,0.0012,0.0112,0.0081,0.0164,0.0002,0.0011,8.9663e-05,0.0004
69,,0.75,,,0.25,7.0,0.0,0.9586,0.223,0.6991,-0.3486,-0.3564,-0.2779,-0.2759,0.4446,0.0794,0.0046,0.0486,-0.0007,-0.0457,0.0006,0.026,0.2344,0.1105,0.0713,0.05,0.1837,0.0801,0.0836,0.0358,0.0246,0.0157,0.0087,0.0159,0.0003,0.0008,0.0001,0.0003,0.2421,0.0695,0.1299,0.0359,0.0257,0.048,0.0086,0.0584,0.0041,0.0199,0.0098,0.011,0.0002,0.0005,0.0001,0.0003
70,,0.5,,,0.5,7.0,0.0,0.9569,0.2346,0.5905,-0.3367,-0.3975,-0.3663,-0.3097,0.4144,0.0193,-0.015,0.0668,-0.0633,-0.0993,-0.0606,0.0168,0.2487,0.1628,0.0715,0.0682,0.1646,0.0774,0.0745,0.0485,0.0228,0.0131,0.0073,0.0179,0.0003,0.0011,0.0001,0.0004,0.2404,0.0999,0.1168,0.0492,0.023,0.046,0.0058,0.0775,0.005,0.0151,0.0089,0.0133,0.0002,0.0006,0.0001,0.0003
71,,0.25,,,0.75,7.0,0.0,0.9506,0.0499,0.5335,-0.2753,-0.236,-0.1978,-0.1386,0.2462,0.01,-0.0445,0.0067,-0.0132,0.0193,0.0009,0.0096,0.2158,0.1786,0.0632,0.0674,0.1835,0.0889,0.0837,0.0544,0.0244,0.018,0.0077,0.0306,0.0004,0.0012,0.0001,0.0005,0.2266,0.1127,0.1213,0.0557,0.0257,0.0546,0.0081,0.097,0.0031,0.0192,0.0104,0.022,0.0002,0.0007,0.0001,0.0005
72,,0.75,,,0.25,11.0,0.0,0.9283,0.0699,0.4798,-0.255,-0.1835,-0.1389,-0.2435,0.2435,-0.0035,-0.0854,0.015,-0.0227,0.0714,0.0537,-0.0065,0.2657,0.2209,0.0521,0.0786,0.1591,0.0916,0.0539,0.0469,0.0207,0.0181,0.0049,0.0264,0.0004,0.0014,8.4307e-05,0.0004,0.2476,0.1364,0.0903,0.0589,0.0198,0.0512,0.0049,0.0745,0.0031,0.0152,0.0062,0.0195,0.0002,0.0008,7.5179e-05,0.0003
73,,0.5,,,0.5,11.0,0.0,0.9139,0.0234,0.5532,-0.2072,-0.1869,-0.139,-0.0889,0.2183,0.0401,-0.0064,-0.018,-0.0294,0.0219,0.0494,-0.0653,0.2978,0.2608,0.0675,0.0892,0.1249,0.0718,0.0492,0.0667,0.0147,0.0104,0.0037,0.0228,0.0004,0.0014,0.0001,0.0005,0.2484,0.1618,0.0838,0.0613,0.0186,0.0424,0.0027,0.0794,0.0031,0.0108,0.0051,0.0167,0.0002,0.0008,7.1688e-05,0.0004
74,,0.25,,,0.75,11.0,0.0,0.9321,0.1076,0.4606,-0.2666,-0.2275,-0.228,-0.1964,0.268,0.0401,0.0279,-0.0278,0.0243,-0.0325,0.0649,0.0524,0.2624,0.2044,0.0646,0.0885,0.1541,0.1057,0.0579,0.0555,0.0183,0.0124,0.0055,0.0286,0.0004,0.0017,0.0001,0.0005,0.2399,0.1275,0.1008,0.0662,0.023,0.0583,0.0043,0.0975,0.0029,0.0119,0.0073,0.0192,0.0002,0.0011,9.1186e-05,0.0004
75,,0.75,,,0.25,13.0,0.0,0.9544,0.0764,0.5742,-0.2965,-0.2801,-0.1736,-0.1691,0.2743,0.036,-0.0602,-0.004,0.0533,-0.0855,-0.0311,0.0828,0.2341,0.1794,0.049,0.0819,0.1839,0.1001,0.0615,0.0519,0.0247,0.0151,0.0062,0.0283,0.0004,0.0015,7.9938e-05,0.0004,0.2476,0.1125,0.0953,0.0618,0.0213,0.0543,0.0064,0.0897,0.0017,0.0131,0.0076,0.0206,0.0002,0.0009,7.9333e-05,0.0004
77,,0.25,,,0.75,13.0,0.0,0.9423,0.0396,0.5048,-0.2343,-0.2402,-0.216,-0.1622,0.2168,0.0379,-0.0166,-0.0128,0.0507,-0.0188,-0.1201,-0.0313,0.228,0.1936,0.0508,0.0734,0.1731,0.0843,0.0578,0.0533,0.0222,0.0129,0.0059,0.0252,0.0004,0.0016,8.0648e-05,0.0004,0.2329,0.1198,0.0914,0.0545,0.0242,0.05,0.0033,0.1196,0.0032,0.0118,0.0072,0.0181,0.0002,0.0009,7.8906e-05,0.0003
